index,customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
148,UQ63396,California,F,Bachelor,786943.24,40036.0,65.0,0.0,Personal Auto,Four-Door Car,48.828732
149,BR23201,California,M,Bachelor,258680.72,0.0,71.0,0.0,Personal Auto,Four-Door Car,191.640085
150,VH45094,Arizona,M,High School or Below,728678.91,65870.0,61.0,1.0,Personal Auto,Four-Door Car,202.847644
151,KD47243,California,F,Bachelor,1179799.21,91469.0,100.0,2.0,Personal Auto,SUV,418.864555
152,MY13737,California,M,High School or Below,938675.3,42090.0,119.0,0.0,Corporate Auto,SUV,203.352239
153,OR48881,Oregon,F,Doctor,630892.24,21368.0,79.0,0.0,Corporate Auto,Four-Door Car,4.61262
154,BD77090,Washington,F,Bachelor,860915.82,79090.0,107.0,0.0,Personal Auto,SUV,289.040734
155,LW77178,Oregon,F,Bachelor,1542801.04,33879.0,98.0,0.0,Corporate Auto,Two-Door Car,470.4
156,BQ12347,Arizona,M,High School or Below,563079.3,72874.0,70.0,0.0,Special Auto,Four-Door Car,336.0
157,FF61670,California,M,High School or Below,1813118.87,0.0,82.0,1.0,Personal Auto,Four-Door Car,393.6
158,PM61374,California,F,Bachelor,808721.95,0.0,110.0,0.0,Personal Auto,Two-Door Car,550.825934
159,BW25236,Arizona,M,College,1845357.63,72215.0,66.0,0.0,Personal Auto,Four-Door Car,247.911872
160,XO22038,California,F,Bachelor,521751.33,39854.0,66.0,0.0,Corporate Auto,Two-Door Car,261.930545
161,QG51953,Oregon,M,College,483578.32,36655.0,61.0,0.0,Personal Auto,Four-Door Car,295.223164
162,SZ56338,Oregon,F,High School or Below,559712.5,37995.0,139.0,0.0,Personal Auto,SUV,667.2
163,PX60116,California,F,High School or Below,892046.4,40867.0,112.0,0.0,Corporate Auto,Two-Door Car,537.6
164,BW46202,Oregon,F,Bachelor,599541.1,28804.0,78.0,0.0,Personal Auto,Two-Door Car,76.025368
165,GW14109,California,F,High School or Below,3849694.7,48409.0,124.0,0.0,Special Auto,SUV,345.211703
166,GP42026,California,M,High School or Below,838263.01,19683.0,117.0,1.0,Personal Auto,Luxury,561.6
167,DH41343,Washington,,College,244366.52,92834.0,61.0,0.0,Special Auto,Four-Door Car,292.8
168,PY42157,Washington,F,High School or Below,247225.39,62006.0,61.0,0.0,Personal Auto,Four-Door Car,292.8
169,OL36978,California,F,High School or Below,540551.84,67241.0,68.0,1.0,Personal Auto,Two-Door Car,5.674809
170,KT40899,California,M,High School or Below,935247.9,75436.0,78.0,0.0,Personal Auto,Four-Door Car,9.747443
171,WE60408,Arizona,F,College,433987.11,91761.0,109.0,2.0,Personal Auto,SUV,779.052276
172,LG64797,California,F,College,1772376.4,25771.0,222.0,0.0,Personal Auto,Luxury,1253.984948
173,MD87746,Oregon,M,College,750745.54,60920.0,64.0,0.0,Personal Auto,Two-Door Car,231.201886
174,QP80741,Washington,F,College,604857.42,0.0,61.0,3.0,Corporate Auto,Four-Door Car,292.8
175,WO59883,Washington,F,High School or Below,1901447.63,29822.0,61.0,0.0,Personal Auto,Two-Door Car,292.8
176,MU79385,Arizona,M,College,1008037.03,60944.0,130.0,2.0,Personal Auto,SUV,623.505066
177,JH30384,California,F,High School or Below,650339.7,22081.0,84.0,0.0,Personal Auto,Two-Door Car,451.670309
178,LL45497,Washington,F,College,248772.97,67282.0,62.0,0.0,Personal Auto,Two-Door Car,297.6
179,SK95364,California,F,College,462039.01,0.0,130.0,0.0,Personal Auto,SUV,936.0
180,VG56765,Arizona,M,High School or Below,247152.84,95697.0,61.0,0.0,Personal Auto,Two-Door Car,114.273025
181,NE24371,Oregon,F,College,649424.4,15300.0,85.0,0.0,Personal Auto,Four-Door Car,408.0
182,KR48903,Washington,M,High School or Below,250490.76,88264.0,62.0,0.0,Personal Auto,Two-Door Car,297.6
183,ZF27999,Nevada,F,College,490489.47,12902.0,139.0,0.0,Personal Auto,Luxury,667.2
184,MH40017,Arizona,M,High School or Below,480247.7,29809.0,61.0,0.0,Personal Auto,Four-Door Car,365.312072
185,YJ99764,Nevada,M,High School or Below,795577.48,0.0,74.0,0.0,Personal Auto,Four-Door Car,355.2
186,AG22225,Oregon,M,High School or Below,694190.08,0.0,96.0,0.0,Personal Auto,Four-Door Car,460.8
187,ZJ26179,Oregon,M,Bachelor,838247.84,25998.0,71.0,0.0,Personal Auto,Four-Door Car,791.878042
188,VO36036,Oregon,F,Doctor,353643.18,28248.0,90.0,0.0,Personal Auto,Four-Door Car,634.385937
189,ZQ94281,California,F,College,324481.66,68103.0,82.0,0.0,Personal Auto,Two-Door Car,277.795988
190,CK40732,California,F,High School or Below,761121.28,0.0,103.0,0.0,Special Auto,Four-Door Car,741.6
191,UT73461,Oregon,F,Doctor,450539.83,81079.0,111.0,0.0,Special Auto,SUV,134.222332
192,LT57320,Nevada,F,Master,244584.48,22732.0,62.0,0.0,Personal Auto,Four-Door Car,15.616535
193,BZ44726,Nevada,F,High School or Below,1647776.84,49825.0,70.0,3.0,Corporate Auto,Two-Door Car,336.0
194,VU32116,Oregon,F,College,354640.02,0.0,103.0,0.0,Personal Auto,SUV,621.959357
195,EG94326,Nevada,M,High School or Below,427727.01,77265.0,107.0,0.0,Personal Auto,SUV,513.6
196,EJ43595,California,M,High School or Below,478477.35,0.0,72.0,0.0,Corporate Auto,Four-Door Car,779.629297
197,QI37869,California,M,College,757223.77,12876.0,107.0,2.0,Corporate Auto,Four-Door Car,425.964628
198,SX65826,Arizona,M,Bachelor,1176087.64,36431.0,99.0,0.0,Personal Auto,Two-Door Car,513.252488
199,XO42145,Oregon,M,High School or Below,393381.4,25927.0,103.0,0.0,Personal Auto,SUV,674.973614
200,WJ74851,Nevada,F,Bachelor,570076.18,26811.0,72.0,0.0,Personal Auto,Two-Door Car,465.763576
201,IG68709,Oregon,F,High School or Below,349863.48,41711.0,90.0,0.0,Personal Auto,Four-Door Car,351.286604
202,AC75391,Arizona,F,College,576809.13,35091.0,74.0,0.0,Corporate Auto,Two-Door Car,418.927204
203,WO94087,Arizona,F,Bachelor,636195.4,0.0,87.0,0.0,Corporate Auto,Four-Door Car,417.6
204,YJ69332,Oregon,F,High School or Below,650339.7,22081.0,84.0,0.0,Personal Auto,Two-Door Car,451.670309
205,WX87964,Washington,M,High School or Below,493519.0,29560.0,62.0,0.0,Personal Auto,Four-Door Car,297.6
206,PD32641,Oregon,M,College,578522.35,31320.0,72.0,0.0,Personal Auto,Four-Door Car,293.86579
207,CK39096,Oregon,M,High School or Below,561968.91,0.0,153.0,0.0,Personal Auto,SUV,1027.000029
208,QV19964,Oregon,M,Doctor,259928.96,33947.0,66.0,1.0,Personal Auto,Four-Door Car,192.213037
209,BF72793,California,F,High School or Below,673297.09,0.0,62.0,0.0,Personal Auto,Two-Door Car,446.4
210,WB12017,California,F,College,1832186.65,21189.0,66.0,0.0,Personal Auto,Two-Door Car,316.8
211,JO17193,Washington,M,Bachelor,230069.15,25905.0,63.0,0.0,Personal Auto,Four-Door Car,302.4
212,AY84441,Oregon,M,High School or Below,400285.76,0.0,114.0,0.0,Personal Auto,SUV,820.8
213,JQ65500,Oregon,F,Bachelor,862099.74,44988.0,108.0,0.0,Corporate Auto,Two-Door Car,518.4
214,OI29521,Oregon,F,College,1038898.6,33432.0,90.0,0.0,Corporate Auto,Two-Door Car,161.423101
215,MJ51323,Oregon,F,Bachelor,842717.25,46503.0,215.0,1.0,Personal Auto,Luxury,1032.0
216,QI64880,California,M,Bachelor,700727.42,0.0,101.0,0.0,Corporate Auto,SUV,973.787176
217,HV93429,Oregon,F,Master,517657.91,23636.0,65.0,0.0,Personal Auto,Four-Door Car,81.452537
218,TA89713,Oregon,M,College,538949.95,66429.0,136.0,0.0,Personal Auto,Luxury,57.712985
219,OB98149,Washington,F,College,470000.75,11417.0,63.0,0.0,Personal Auto,Two-Door Car,302.4
220,LE65901,Oregon,F,Bachelor,443494.14,58082.0,112.0,1.0,Personal Auto,SUV,103.022126
221,FF68864,Arizona,F,Bachelor,1401052.74,36523.0,71.0,0.0,Personal Auto,Four-Door Car,101.353875
222,YX99200,Nevada,M,Bachelor,1235005.82,54710.0,103.0,0.0,Personal Auto,Two-Door Car,294.058449
223,LZ26801,California,F,High School or Below,816157.69,73466.0,102.0,1.0,Personal Auto,SUV,204.74051
224,TA66375,Oregon,F,Bachelor,1100913.05,51643.0,283.0,0.0,Corporate Auto,Luxury,1358.4
225,SC92090,Arizona,M,College,871704.98,83846.0,74.0,3.0,Personal Auto,Four-Door Car,355.2
226,TK40018,Oregon,M,High School or Below,591746.66,0.0,169.0,0.0,Personal Auto,SUV,1207.084251
227,ZD63451,California,M,Bachelor,250366.04,53338.0,63.0,1.0,Personal Auto,Four-Door Car,35.45384
228,AO98601,Washington,,Bachelor,501888.52,54500.0,63.0,0.0,Corporate Auto,Two-Door Car,302.4
229,DT35588,Oregon,M,College,433038.6,60475.0,107.0,0.0,Personal Auto,Four-Door Car,513.6
230,VF87723,California,M,College,1048774.33,30658.0,89.0,0.0,Personal Auto,Four-Door Car,441.757585
231,QP69826,Arizona,M,Bachelor,356750.38,0.0,102.0,0.0,Corporate Auto,SUV,660.430456
232,UW37050,Oregon,F,Bachelor,1989642.23,60420.0,248.0,0.0,Personal Auto,Luxury,632.944366
233,UH62254,Oregon,M,Bachelor,2142363.72,0.0,65.0,0.0,Personal Auto,Two-Door Car,312.0
234,IA15979,Washington,M,College,694832.59,40598.0,91.0,0.0,Personal Auto,Four-Door Car,302.791402
235,DB71122,California,F,Doctor,351583.19,15144.0,90.0,0.0,Personal Auto,Four-Door Car,372.652536
236,TM14491,California,M,Bachelor,1203662.05,44428.0,104.0,0.0,Personal Auto,SUV,499.2
237,OY94707,California,M,College,360979.83,58297.0,97.0,5.0,Special Auto,Four-Door Car,647.039443
238,LN55080,Oregon,F,Bachelor,1773246.49,42191.0,74.0,1.0,Special Auto,Two-Door Car,68.647736
239,TZ47750,Nevada,M,Master,850985.09,26057.0,74.0,0.0,Personal Auto,Four-Door Car,523.888845
240,SJ74501,Arizona,F,Bachelor,586642.43,26608.0,73.0,0.0,Personal Auto,Two-Door Car,234.234301
241,LE26899,California,M,Doctor,482550.09,0.0,63.0,0.0,Personal Auto,Four-Door Car,272.843439
242,ML34366,California,M,College,538949.95,66429.0,136.0,0.0,Personal Auto,Luxury,57.712985
243,EI45850,California,F,Bachelor,777800.56,25970.0,72.0,3.0,Personal Auto,Four-Door Car,430.818992
244,LD75023,Oregon,M,High School or Below,2634608.58,48268.0,223.0,0.0,Personal Auto,Luxury,1605.6
245,JW12998,California,F,High School or Below,1486645.12,24279.0,126.0,0.0,Personal Auto,Luxury,604.8
246,LP47259,Arizona,M,High School or Below,832423.27,0.0,121.0,0.0,Corporate Auto,Luxury,871.2
247,XD21246,Oregon,F,High School or Below,923830.6,0.0,128.0,0.0,Personal Auto,SUV,921.6
248,DW59142,Nevada,F,High School or Below,2269329.08,71879.0,64.0,0.0,Corporate Auto,Two-Door Car,9.163065
249,KX54900,Arizona,M,Doctor,623601.86,57760.0,78.0,0.0,Special Auto,Four-Door Car,223.950089
250,XV83643,California,M,College,501218.48,20976.0,129.0,1.0,Personal Auto,Luxury,735.683769
251,XY33610,Washington,M,College,1569553.94,97750.0,65.0,0.0,Personal Auto,Four-Door Car,303.002922
252,GK48045,Washington,F,College,821460.24,73245.0,68.0,0.0,Personal Auto,Four-Door Car,305.121363
253,ET79528,California,M,College,311898.11,23008.0,79.0,1.0,Personal Auto,Four-Door Car,80.663097
254,RA66180,Washington,F,High School or Below,276403.21,33837.0,72.0,4.0,Corporate Auto,Two-Door Car,305.575785
255,BC66536,Arizona,F,High School or Below,688368.66,84869.0,85.0,0.0,Corporate Auto,Four-Door Car,408.0
256,PN22481,Oregon,M,College,221591.29,0.0,66.0,0.0,Corporate Auto,Two-Door Car,316.8
257,XR95069,Washington,,Bachelor,485474.57,29834.0,6464.0,0.0,Personal Auto,Four-Door Car,307.2
258,IF38438,Arizona,F,High School or Below,2152294.75,44695.0,79.0,2.0,Personal Auto,Two-Door Car,81.166323
259,ZC62609,Oregon,F,High School or Below,276169.17,0.0,77.0,0.0,Personal Auto,Four-Door Car,554.4
260,FD64348,Oregon,M,High School or Below,2256361.84,23046.0,65.0,3.0,Personal Auto,Two-Door Car,1.687291
261,TA58285,Oregon,M,High School or Below,528591.83,0.0,73.0,0.0,Personal Auto,Two-Door Car,392.951076
262,WV66165,Oregon,F,High School or Below,3506264.8,84811.0,111.0,0.0,Personal Auto,SUV,278.284943
263,YE27183,Oregon,M,Bachelor,591319.9,0.0,91.0,0.0,Corporate Auto,Four-Door Car,436.8
264,TI47802,California,F,Master,259339.87,0.0,69.0,0.0,Personal Auto,Two-Door Car,331.2
265,ZZ44902,Arizona,M,High School or Below,1269267.09,40117.0,108.0,0.0,Personal Auto,Two-Door Car,750.082794
266,JD73594,Oregon,M,Bachelor,330911.97,72140.0,87.0,2.0,Personal Auto,Four-Door Car,417.6
267,VW82067,Washington,F,Master,518162.09,97131.0,6464.0,0.0,Personal Auto,Four-Door Car,307.2
268,JS55721,California,M,College,241393.06,12495.0,65.0,0.0,Personal Auto,Four-Door Car,312.0
269,ZB62469,California,M,High School or Below,216168.55,0.0,67.0,2.0,Corporate Auto,Two-Door Car,482.4
270,HZ74609,Oregon,F,Bachelor,552798.89,0.0,72.0,0.0,Personal Auto,Four-Door Car,345.6
271,TJ76363,Arizona,F,Doctor,1062921.79,36495.0,133.0,1.0,Corporate Auto,SUV,229.930796
272,QZ58370,Nevada,F,Bachelor,1182010.98,86801.0,98.0,0.0,Personal Auto,Four-Door Car,371.108203
273,RF44930,California,M,College,496463.15,52679.0,62.0,0.0,Personal Auto,Four-Door Car,117.998498
274,VJ44100,California,M,Master,912292.56,90804.0,113.0,0.0,Personal Auto,Luxury,434.09776
275,KN13494,Washington,F,Master,518162.09,97131.0,6464.0,0.0,Personal Auto,Four-Door Car,307.2
276,NL80137,Oregon,F,College,346066.5,14262.0,90.0,0.0,Personal Auto,Four-Door Car,290.432527
277,NZ57065,Oregon,M,Bachelor,287298.08,36844.0,73.0,0.0,Personal Auto,Four-Door Car,283.966321
278,NM42917,Arizona,F,College,992787.77,58703.0,127.0,2.0,Personal Auto,SUV,227.916076
279,RR68322,Nevada,M,High School or Below,348268.7,65162.0,86.0,0.0,Personal Auto,Four-Door Car,134.430084
280,OF78862,Oregon,F,College,399172.72,54964.0,99.0,0.0,Personal Auto,Four-Door Car,525.515271
281,SC93784,Oregon,M,Bachelor,551010.74,61401.0,69.0,0.0,Personal Auto,Four-Door Car,144.439335
282,CM59084,Oregon,F,High School or Below,360093.43,25147.0,101.0,0.0,Corporate Auto,SUV,694.598288
283,QA41558,Oregon,F,Master,541945.81,73536.0,67.0,0.0,Personal Auto,Two-Door Car,172.518524
284,SD62061,Oregon,F,High School or Below,581063.05,24860.0,73.0,0.0,Personal Auto,Four-Door Car,350.4
285,VP13613,California,M,Bachelor,394272.58,65404.0,99.0,0.0,Personal Auto,Four-Door Car,300.703109
286,HF96939,Oregon,M,High School or Below,312627.19,34510.0,81.0,0.0,Personal Auto,Four-Door Car,388.8
287,DU18362,California,M,Bachelor,353000.77,0.0,108.0,0.0,Corporate Auto,Two-Door Car,777.6
288,UG34438,Washington,F,College,1099059.48,44552.0,137.0,0.0,Personal Auto,SUV,311.103582
289,XQ19793,Arizona,M,High School or Below,477294.38,20993.0,133.0,0.0,Personal Auto,SUV,638.4
290,OB77084,Oregon,F,Bachelor,220233.52,0.0,61.0,1.0,Personal Auto,Two-Door Car,292.8
291,LK74984,Washington,M,High School or Below,245917.17,21190.0,65.0,2.0,Personal Auto,Four-Door Car,312.0
292,JE13986,Arizona,F,College,1037388.88,62587.0,86.0,0.0,Personal Auto,Four-Door Car,412.8
293,QR15221,Washington,F,High School or Below,258420.39,22562.0,65.0,0.0,Personal Auto,Two-Door Car,312.0
294,LD49835,California,M,High School or Below,430742.28,73345.0,107.0,0.0,Personal Auto,SUV,513.6
295,EK19337,Oregon,F,High School or Below,304025.38,0.0,83.0,0.0,Personal Auto,Four-Door Car,989.105367
296,GD55093,California,F,Master,1916098.99,22705.0,239.0,0.0,Personal Auto,Luxury,1294.700423
297,RX19151,Washington,M,Bachelor,817657.68,67137.0,111.0,5.0,Personal Auto,SUV,314.880326
298,TJ30354,Oregon,F,Bachelor,528530.76,22627.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
299,TA75663,California,F,Master,802499.3,38702.0,101.0,3.0,Personal Auto,SUV,253.364333
300,WG15841,California,M,Bachelor,281046.44,26790.0,71.0,0.0,Personal Auto,Two-Door Car,340.8
301,LO68739,Arizona,F,Bachelor,773955.04,64859.0,96.0,0.0,Personal Auto,Four-Door Car,266.949266
302,BE61743,Washington,M,Bachelor,410979.36,86657.0,103.0,0.0,Personal Auto,Luxury,316.227946
303,EG56026,Nevada,F,High School or Below,327516.2,69263.0,81.0,2.0,Personal Auto,Two-Door Car,494.847804
304,VF21395,Oregon,M,Bachelor,265269.53,82655.0,66.0,0.0,Personal Auto,Two-Door Car,316.8
305,SI11249,California,F,High School or Below,504822.62,29401.0,65.0,0.0,Personal Auto,Four-Door Car,312.0
306,PU95227,Washington,M,Bachelor,336241.44,22853.0,87.0,0.0,Personal Auto,Four-Door Car,316.35678
307,VO87785,Arizona,F,College,485842.94,26480.0,63.0,0.0,Personal Auto,Two-Door Car,378.695238
308,FS29897,Oregon,F,High School or Below,214492.15,0.0,61.0,1.0,Personal Auto,Four-Door Car,292.8
309,JG36165,California,M,Bachelor,604261.85,0.0,83.0,0.0,Personal Auto,Two-Door Car,904.385726
310,SJ42058,Oregon,F,High School or Below,338720.33,73268.0,84.0,0.0,Personal Auto,Four-Door Car,93.623377
311,CU13711,Oregon,F,Doctor,1086427.49,95579.0,67.0,0.0,Personal Auto,Four-Door Car,308.631159
312,GT65065,Oregon,F,Master,884265.0,42142.0,112.0,0.0,Personal Auto,Luxury,396.17554
313,LO77543,Washington,M,College,261661.39,72302.0,66.0,0.0,Special Auto,Two-Door Car,316.8
314,UQ85283,California,M,Bachelor,3076325.64,41279.0,115.0,0.0,Personal Auto,Luxury,251.429988
315,QA49556,Washington,M,Master,520022.78,23401.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
316,GE29173,Nevada,M,Bachelor,859130.54,0.0,128.0,0.0,Corporate Auto,SUV,1448.994134
317,DF21541,Arizona,F,College,264657.38,23170.0,71.0,0.0,Personal Auto,Four-Door Car,340.8
318,JL59571,Oregon,F,Bachelor,460724.43,17343.0,63.0,0.0,Corporate Auto,Two-Door Car,208.659743
319,DF94525,Oregon,M,College,486062.0,25854.0,68.0,0.0,Personal Auto,Four-Door Car,396.284835
320,YO58424,Oregon,M,College,258084.99,46900.0,66.0,0.0,Corporate Auto,Four-Door Car,316.8
321,UF32671,Washington,F,College,529139.53,57338.0,66.0,0.0,Personal Auto,Four-Door Car,316.8
322,HO92982,California,M,High School or Below,840575.3,85355.0,71.0,2.0,Personal Auto,Two-Door Car,458.568921
323,MZ24175,Arizona,F,College,309651.12,21604.0,79.0,0.0,Personal Auto,Four-Door Car,379.2
324,YD48962,Arizona,M,High School or Below,2941228.93,0.0,107.0,0.0,Personal Auto,SUV,513.6
325,RI52095,Washington,M,High School or Below,,51878.0,66.0,1.0,Personal Auto,Four-Door Car,316.8
326,MF18493,California,M,College,1749752.2,0.0,73.0,0.0,Personal Auto,Two-Door Car,350.4
327,EP61084,Nevada,F,High School or Below,321860.86,68776.0,80.0,0.0,Personal Auto,Four-Door Car,87.861666
328,EN38348,Oregon,F,High School or Below,2320726.97,45039.0,96.0,0.0,Personal Auto,Four-Door Car,192.144838
329,FG46258,Washington,F,College,692197.4,16483.0,90.0,0.0,Corporate Auto,Two-Door Car,320.519977
330,LS98306,Nevada,M,High School or Below,1391853.48,64113.0,117.0,0.0,Special Auto,Four-Door Car,561.6
331,PZ47477,Arizona,M,High School or Below,896630.98,41829.0,76.0,0.0,Personal Auto,Two-Door Car,416.365369
332,LT32391,California,F,Master,1198198.48,21514.0,62.0,0.0,Personal Auto,Two-Door Car,257.248789
333,KK30016,Nevada,M,Master,553262.98,27722.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
334,OA89218,Nevada,F,College,1166057.3,21506.0,151.0,0.0,Personal Auto,Luxury,826.658992
335,CY47265,Oregon,F,High School or Below,288645.16,10312.0,78.0,0.0,Personal Auto,Four-Door Car,486.278557
336,ZI47663,Arizona,F,Bachelor,1274184.75,73054.0,106.0,1.0,Personal Auto,SUV,419.365958
337,GO14008,Oregon,F,Bachelor,539809.81,73775.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
338,BC43958,California,M,High School or Below,728503.1,44788.0,61.0,0.0,Corporate Auto,Four-Door Car,386.031248
339,AI61368,Nevada,F,High School or Below,1765196.34,22510.0,95.0,0.0,Personal Auto,Four-Door Car,456.0
340,UF37831,Arizona,M,Master,1702989.34,54613.0,213.0,0.0,Personal Auto,Luxury,731.559007
341,PO90615,Arizona,F,High School or Below,249125.76,25965.0,65.0,0.0,Personal Auto,Four-Door Car,329.206567
342,GY74661,Oregon,F,College,403931.5,34911.0,105.0,1.0,Personal Auto,SUV,126.779673
343,MX50302,Oregon,M,Bachelor,261933.74,78618.0,66.0,0.0,Special Auto,Two-Door Car,225.578841
344,TC84427,Oregon,F,High School or Below,504968.96,61080.0,66.0,2.0,Personal Auto,Four-Door Car,294.284951
345,IQ82914,Oregon,F,Master,498345.71,60415.0,62.0,0.0,Personal Auto,Two-Door Car,72.665253
346,TY74870,California,F,Master,253063.94,25143.0,66.0,0.0,Corporate Auto,Four-Door Car,8.737111
347,II83628,California,M,College,739671.97,41045.0,64.0,1.0,Personal Auto,Four-Door Car,394.582401
348,ZR77995,California,M,College,383289.85,97729.0,95.0,0.0,Personal Auto,Four-Door Car,97.176153
349,QT89604,Arizona,F,High School or Below,496140.59,55702.0,61.0,0.0,Personal Auto,Four-Door Car,151.13336
350,AB21519,California,F,College,386148.63,93272.0,95.0,0.0,Personal Auto,Four-Door Car,281.110788
351,MP47256,California,M,Bachelor,2265853.65,23665.0,67.0,0.0,Personal Auto,Four-Door Car,404.817249
352,MA47641,Oregon,M,High School or Below,1040896.87,20228.0,101.0,1.0,Personal Auto,SUV,523.815839
353,GQ20713,Nevada,F,College,483471.05,38713.0,66.0,4.0,Personal Auto,Four-Door Car,316.8
354,WW87934,Arizona,F,Bachelor,825766.65,23815.0,73.0,0.0,Personal Auto,Four-Door Car,424.330166
355,HF75276,Nevada,F,High School or Below,305262.95,0.0,93.0,3.0,Personal Auto,Four-Door Car,446.4
356,ET64028,California,F,High School or Below,401231.93,47221.0,99.0,0.0,Personal Auto,Two-Door Car,475.2
357,QA41472,Oregon,M,Bachelor,1335548.64,34495.0,113.0,0.0,Personal Auto,SUV,389.673944
358,OZ92426,Oregon,M,College,236443.16,46264.0,62.0,0.0,Corporate Auto,Four-Door Car,199.37361
359,UM69933,Nevada,M,College,248933.79,46051.0,63.0,0.0,Personal Auto,Two-Door Car,302.4
360,RQ11502,Nevada,F,Bachelor,475572.0,23975.0,128.0,0.0,Corporate Auto,SUV,614.4
361,TX98128,California,F,College,1386438.5,0.0,74.0,4.0,Personal Auto,Four-Door Car,580.886785
362,XY52165,Arizona,F,College,302042.48,78561.0,74.0,0.0,Personal Auto,Two-Door Car,355.2
363,GB39003,California,M,High School or Below,628530.52,0.0,90.0,0.0,Personal Auto,Two-Door Car,432.0
364,VH43367,California,F,High School or Below,250602.2,61402.0,63.0,2.0,Special Auto,Four-Door Car,302.4
365,KG81168,Arizona,M,Bachelor,282630.76,65090.0,71.0,0.0,Personal Auto,Four-Door Car,73.995096
366,WU14549,Nevada,M,Master,436971.79,88495.0,108.0,0.0,Personal Auto,Two-Door Car,535.926948
367,XB17553,Nevada,M,Bachelor,1217458.8,52797.0,104.0,1.0,Personal Auto,Luxury,88.173438
368,MY88518,Nevada,M,Doctor,352804.43,31278.0,92.0,4.0,Personal Auto,Two-Door Car,441.6
369,XE18554,California,F,Bachelor,1043657.47,24177.0,92.0,1.0,Personal Auto,Four-Door Car,441.6
370,NY97446,Oregon,F,High School or Below,274612.14,96339.0,68.0,0.0,Corporate Auto,Four-Door Car,293.205349
371,VT96364,California,M,Bachelor,917517.19,68164.0,119.0,2.0,Personal Auto,Four-Door Car,222.582872
372,HF88410,Washington,,High School or Below,,36765.0,66.0,1.0,Personal Auto,Four-Door Car,320.849072
373,DP92488,Washington,F,Doctor,272752.08,74592.0,67.0,0.0,Personal Auto,Two-Door Car,321.6
374,VC54081,Oregon,F,College,944974.59,0.0,63.0,0.0,Special Auto,Four-Door Car,117.744416
375,CE94751,California,M,College,456881.94,0.0,70.0,1.0,Personal Auto,Two-Door Car,524.836298
376,VM85856,Oregon,F,Master,257402.04,34990.0,65.0,0.0,Personal Auto,Four-Door Car,42.689135
377,EH37385,Arizona,F,Master,878988.41,22849.0,109.0,0.0,Personal Auto,Luxury,523.2
378,FI45719,Arizona,M,Doctor,250740.78,32893.0,63.0,0.0,Personal Auto,Four-Door Car,174.086385
379,SB79528,Oregon,M,College,252241.46,0.0,73.0,0.0,Corporate Auto,Two-Door Car,350.4
380,WH81461,Nevada,M,College,754271.4,0.0,111.0,0.0,Personal Auto,SUV,1186.972445
381,UD47050,Oregon,M,High School or Below,600521.48,26876.0,76.0,0.0,Corporate Auto,Four-Door Car,364.8
382,XZ17273,Nevada,M,Bachelor,2099825.95,71663.0,74.0,0.0,Corporate Auto,Four-Door Car,84.494022
383,XR97812,California,M,College,234508.45,0.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
384,BW88060,California,F,High School or Below,878316.54,16994.0,112.0,0.0,Personal Auto,SUV,806.4
385,CP32818,Oregon,M,Bachelor,452996.54,64270.0,117.0,0.0,Personal Auto,Luxury,46.104534
386,CM52565,Nevada,F,High School or Below,603322.24,0.0,83.0,0.0,Corporate Auto,Four-Door Car,597.6
387,YP40334,Oregon,F,Doctor,530824.7,0.0,145.0,0.0,Personal Auto,SUV,358.765757
388,KD63998,California,M,College,267473.07,56342.0,69.0,0.0,Personal Auto,Four-Door Car,331.2
389,VC77127,California,F,High School or Below,492980.75,0.0,70.0,0.0,Personal Auto,Four-Door Car,837.438442
390,AM30008,California,M,High School or Below,1413112.13,28327.0,185.0,0.0,Personal Auto,Luxury,888.0
391,PC83755,Oregon,M,High School or Below,247152.84,95697.0,61.0,0.0,Personal Auto,Two-Door Car,114.273025
392,XS22323,Arizona,M,High School or Below,600521.48,26876.0,76.0,0.0,Personal Auto,Four-Door Car,364.8
393,ST27958,Washington,M,College,438627.76,10621.0,67.0,0.0,Personal Auto,Four-Door Car,321.6
394,BH23017,Nevada,F,Bachelor,1911656.81,0.0,61.0,0.0,Personal Auto,Two-Door Car,657.808231
395,OD18225,California,M,College,663166.55,32918.0,84.0,0.0,Personal Auto,Four-Door Car,403.2
396,VE31507,Oregon,F,High School or Below,743229.99,0.0,71.0,0.0,Personal Auto,Four-Door Car,447.333545
397,NR18672,Nevada,M,High School or Below,292811.51,63127.0,74.0,1.0,Personal Auto,Two-Door Car,174.292234
398,DM76654,California,M,College,4661187.38,22022.0,136.0,0.0,Personal Auto,SUV,979.2
399,YY11432,Oregon,F,High School or Below,1651500.93,51725.0,138.0,1.0,Personal Auto,SUV,159.004261
400,GK67747,Washington,M,College,438627.76,10621.0,67.0,0.0,Special Auto,Four-Door Car,321.6
401,XA75063,Oregon,F,College,1021356.34,39719.0,131.0,0.0,Personal Auto,Luxury,628.8
402,PQ13422,Nevada,M,College,1004928.59,58194.0,84.0,0.0,Personal Auto,Four-Door Car,450.996589
